06ED7BB3  // 0.432979
06FAA7E9  // 0.436195
070A594A  // 0.440027
071711CA  // 0.443132
071E0B4D  // 0.444835
072053D7  // 0.445392
0721A65D  // 0.445715
0725E0FA  // 0.446748
072EC8EB  // 0.448922
073B215C  // 0.451936
07475E7A  // 0.454924
074F4CFE  // 0.456861
074F9972  // 0.456933
07468918  // 0.454721
0734054D  // 0.4502
07195F42  // 0.443694
06F961CB  // 0.435884
06D87F85  // 0.427856
06BC95CD  // 0.421041
06AB94F1  // 0.41689
06A95E55  // 0.41635
06B5A74A  // 0.419349
06CB7403  // 0.424671
06E2B4DB  // 0.430348
06F3A827  // 0.434487
06FA3E4B  // 0.436095
06F7AFF2  // 0.435471
06F175CB  // 0.43395
06EE58FE  // 0.43319
06F36485  // 0.434422
070250FB  // 0.438066
0719CFAD  // 0.443802
0736EB8F  // 0.450908
07561F5F  // 0.458526
077395D3  // 0.465719
078B018B  // 0.471437
07982ADD  // 0.47465
07988F42  // 0.474746
078D72E9  // 0.472033
077C9A88  // 0.467921
076E8480  // 0.464482
076A7B19  // 0.463496
077293F9  // 0.465473
07823B71  // 0.469295
0790B428  // 0.472828
07966FD6  // 0.474228
079222CC  // 0.473178
078A89D5  // 0.471323
078B782E  // 0.47155
079FB54F  // 0.476491
07CB2765  // 0.487098
08085001  // 0.502029
084A69A5  // 0.518167
08829963  // 0.531885
08A559A9  // 0.540369
08AD9B83  // 0.542385
089CDDB7  // 0.538297
087948C4  // 0.52961
084B82C3  // 0.518435
081D4654  // 0.507147
07F87A9A  // 0.498164
07E5F80E  // 0.493645
07EB53DE  // 0.494953
08087343  // 0.502063
08365248  // 0.513262
08687483  // 0.525502
0890E297  // 0.535372
08A54D1F  // 0.540357
08A28C37  // 0.539685
088CD8DC  // 0.534387
086CA765  // 0.526527
0849F82E  // 0.518059
0828DEF9  // 0.509978
0809081F  // 0.502205
07E83311  // 0.494189
07C5A83E  // 0.485756
07A439D3  // 0.477594
07894C5A  // 0.47102
077997A3  // 0.467186
0775C00C  // 0.466248
07793A6B  // 0.467097
077C752D  // 0.467885
077903F4  // 0.467045
076D3A26  // 0.464167
075CD350  // 0.460162
074E2676  // 0.45658
0745B70B  // 0.45452
07430594  // 0.453863
0740C317  // 0.453311
073842E7  // 0.451236
0725ED71  // 0.44676
070BAAA1  // 0.440348
06EFC830  // 0.433541
06D93A3A  // 0.428034
06CBD8EB  // 0.424767
06C71EBE  // 0.423613
06C7EB55  // 0.423808
06CBA77C  // 0.42472
06D205B5  // 0.426275
06DBDCAF  // 0.428677
06E810BC  // 0.431657
06F13954  // 0.433893
06EE800D  // 0.433228
06D825D2  // 0.42777
06AD0FF0  // 0.417252
0675CBAD  // 0.403759
064277F3  // 0.391228
06241B97  // 0.383815
0624BCCE  // 0.383969
06428D81  // 0.391248
0670CCC9  // 0.402539
069DF212  // 0.413561
06BC2242  // 0.420931
06C80BE8  // 0.423839
06CB5F64  // 0.424652
06DA4B43  // 0.428294
070D299C  // 0.440714
0778855C  // 0.466924
08257D9E  // 0.509153
090CC219  // 0.565615
0A159489  // 0.630269
0B1A42DF  // 0.693911
0BF20A52  // 0.746592
0C7E7851  // 0.780876
0CB7FFB5  // 0.794922
0CB45296  // 0.794024
0CA21D9E  // 0.789579
0CB93FBF  // 0.795227
0D23A491  // 0.821202
0DE74B7D  // 0.868968
0EDB3F55  // 0.928527
0FAE66A4  // 0.980078
10000000  // 1
0F81F518  // 0.969228
0E1793A8  // 0.880756
0BE395B6  // 0.743063
093EC2C4  // 0.577822
069A64B2  // 0.412694
045AD94B  // 0.27218
02B9D2EE  // 0.170367
01BBDCE0  // 0.108365
013B358D  // 0.0769554
010051BF  // 0.062578
00DB1AD1  // 0.0534924
00B1BE70  // 0.0433945
00810071  // 0.0314946
00521F7A  // 0.0200495
002E8C0B  // 0.011364
0018C04B  // 0.00604276
000CAEFC  // 0.00309657
0004F23B  // 0.00120757
00000000  // 0
000210D1  // 0.000504319
00137CEE  // 0.00475781
003DD7D8  // 0.0150984
0089EADC  // 0.0336712
00FEBF58  // 0.0621942
01A083C8  // 0.101688
026DEF56  // 0.15184
035CD346  // 0.210162
045868CB  // 0.271584
0543FED6  // 0.3291
0602952B  // 0.375631
0680BAC1  // 0.406428
06BBEC3F  // 0.42088
06C36FEF  // 0.422714
06B1EDAB  // 0.41844
06A2A8E2  // 0.414712
06A7B873  // 0.415947
06C558DE  // 0.42318
06F3B334  // 0.434497
07250905  // 0.446542
074C6F98  // 0.456161
07621E0E  // 0.461454
07646012  // 0.462006
07563C5C  // 0.458554
073D9661  // 0.452536
0721C684  // 0.445746
070A5D58  // 0.44003
06FD8C08  // 0.436901
06FDEDE5  // 0.436994
0708F448  // 0.439686
07172F57  // 0.44316
071F20CE  // 0.4451
071998A4  // 0.443749
07052F31  // 0.438766
06E6DF4A  // 0.431365
06C72D29  // 0.423627
06AD9817  // 0.417381
069D1617  // 0.413351
0693AB3A  // 0.411052
068D04AF  // 0.409428
0685FE92  // 0.407713
067E7AE2  // 0.405879
06784F78  // 0.404373
06744DE3  // 0.403395
066FF31E  // 0.402331
0665BCC2  // 0.399838
06504F0F  // 0.394607
062E5CEE  // 0.386319
0604845F  // 0.376103
05DB9E89  // 0.366118
05BC71EB  // 0.358507
05AB520E  // 0.354326
05A67081  // 0.353135
05A7A5D5  // 0.35343
05A85C07  // 0.353603
05A4EA74  // 0.352763
059D796C  // 0.350946
05943C84  // 0.348691
058AB398  // 0.346363
05801360  // 0.343768
0571F61E  // 0.340323
055E9A89  // 0.335597
054717F7  // 0.329857
052FD537  // 0.324178
051EF1DB  // 0.320055
05197F3D  // 0.318725
052134B4  // 0.320607
0533A678  // 0.32511
054B3E4C  // 0.33087
05616D1A  // 0.336286
0570EBDF  // 0.340069
05777FC8  // 0.341675
0576AD64  // 0.341474
05735004  // 0.340652
057419AA  // 0.340845
057F3F6D  // 0.343566
0598045F  // 0.349614
05BD2464  // 0.358677
05E8F307  // 0.369372
06137802  // 0.379753
0635B97B  // 0.388116
064CB409  // 0.393726
065A68DD  // 0.397073
066492B1  // 0.399554
06719851  // 0.402733
068583AD  // 0.407596
06A080E9  // 0.414185
06BFABDC  // 0.421795
06DF4AE9  // 0.429515
06FD0EB9  // 0.436782
0718F1B3  // 0.44359
07345356  // 0.450275
07501C81  // 0.457058
076B6764  // 0.463722
07839339  // 0.469623
0795BEFF  // 0.474059
07A0D8F4  // 0.476769
07A6A2E2  // 0.478183
07AB39C2  // 0.479303
07B330B2  // 0.481248
07C169B6  // 0.48472
07D5C683  // 0.489691
07ED705D  // 0.495468
0804330D  // 0.501025
08163AE9  // 0.505427
08213996  // 0.508112
082496B3  // 0.508933
08211BF1  // 0.508083
0818785B  // 0.505974

