074260DF  // 0.453706
074C8D58  // 0.456189
074F0425  // 0.456791
074ADB7C  // 0.455776
07416227  // 0.453463
07344CFE  // 0.450269
07267F8F  // 0.446899
071C3DD8  // 0.444395
071A007A  // 0.443848
07222C26  // 0.445843
07333346  // 0.45
0747744B  // 0.454945
0757670C  // 0.458839
075D0E79  // 0.460219
0756DEE6  // 0.458709
07485039  // 0.455155
0737E90C  // 0.45115
072BE7BF  // 0.448219
07276A2E  // 0.447123
0729C85C  // 0.447701
07300AB5  // 0.449229
07377D4A  // 0.451047
073F6A1B  // 0.452982
0748EF22  // 0.455306
07551B5F  // 0.458278
0762E06C  // 0.46164
076E6D6A  // 0.46446
0772C4E5  // 0.46552
076CBD75  // 0.464048
075D9098  // 0.460343
074B2124  // 0.455842
073D8DC1  // 0.452528
073B415C  // 0.451967
0745CCD4  // 0.454541
07596095  // 0.459321
076F38EF  // 0.464654
07813ED9  // 0.469054
078CBE21  // 0.471861
0792AC6C  // 0.473309
0795C308  // 0.474063
07981CA0  // 0.474637
079A51CE  // 0.475176
079C7799  // 0.4757
079FEEB3  // 0.476546
07A82D34  // 0.478559
07B9421A  // 0.482729
07D4F421  // 0.489491
07F87722  // 0.49816
081CD1D3  // 0.507036
083A0AC7  // 0.51417
084B97BE  // 0.518455
0852EBA5  // 0.520244
0856B4D8  // 0.521169
085EFC68  // 0.52319
0870B119  // 0.527513
088B4DC8  // 0.53401
08A9BC92  // 0.54144
08C570BA  // 0.548203
08D95D98  // 0.553068
08E30310  // 0.555423
08E16C53  // 0.555035
08D3E91B  // 0.551736
08BA34DD  // 0.545461
08967A12  // 0.536738
086F9A01  // 0.527246
0851443B  // 0.51984
08488AC4  // 0.51771
085DEC3F  // 0.52293
088FFA22  // 0.535151
08D1E9B9  // 0.551248
090F8DA9  // 0.566297
093518CC  // 0.575463
0936E815  // 0.575905
09157A01  // 0.567743
08DBC6F3  // 0.553657
08996470  // 0.537449
085BB8AA  // 0.522393
0829B03A  // 0.510178
08039526  // 0.500875
07E60C9E  // 0.493664
07CDE4FC  // 0.487767
07BA2FB1  // 0.482956
07ABD1E9  // 0.479448
07A37F3D  // 0.477416
079FC319  // 0.476504
079CD64A  // 0.47579
079643AF  // 0.474186
07895DFD  // 0.471037
0776DACC  // 0.466517
0762B33E  // 0.461597
07523CE1  // 0.457578
0749B9F2  // 0.4555
074AA713  // 0.455726
07536D58  // 0.457868
0760696E  // 0.461038
076D876F  // 0.46424
0777893D  // 0.466684
077CBF14  // 0.467956
077D17CF  // 0.46804
0779EA4D  // 0.467264
077577F6  // 0.466179
07723926  // 0.465387
0771FB0B  // 0.465327
07752D4E  // 0.466108
077ADFB9  // 0.467499
07817BFA  // 0.469112
0787EA27  // 0.470682
078E2F33  // 0.472213
0794C0B1  // 0.473817
079ACE33  // 0.475294
079CC39D  // 0.475772
0794968E  // 0.473776
077CBCFC  // 0.467954
0754EF78  // 0.458236
07263BC8  // 0.446834
0703EA1F  // 0.438456
0707ADCB  // 0.439375
0749E799  // 0.455543
07D88859  // 0.490364
08AFCD68  // 0.542921
09B7829C  // 0.607302
0AC63890  // 0.673394
0BAAD74D  // 0.729209
0C3B0444  // 0.764408
0C634F2D  // 0.774245
0C335C87  // 0.762539
0BDF6170  // 0.742036
0BB24121  // 0.731019
0BF1669C  // 0.746436
0CBB6111  // 0.795747
0DF0502B  // 0.87117
0F31E6FC  // 0.949683
10000000  // 1
0FE88CCC  // 0.994275
0EB6A9A4  // 0.919595
0C8A8F2A  // 0.783828
09CE5667  // 0.612875
070C6BD2  // 0.440533
04BB90F7  // 0.295793
0318958C  // 0.193502
021DB12F  // 0.132249
0197037C  // 0.0993686
0145A02B  // 0.0794985
00FD70F0  // 0.0618753
00B0D745  // 0.043174
00690E20  // 0.0256482
00350020  // 0.0129396
001AF5E0  // 0.00658214
00148C07  // 0.00501635
00148C5B  // 0.00501667
00105652  // 0.00398857
0006887D  // 0.00159501
00000000  // 0
000C8EF3  // 0.00306601
003E3AA9  // 0.0151927
00A4C1AD  // 0.0402238
01496B5F  // 0.0804247
022AC9C0  // 0.135446
033996D0  // 0.20156
04591355  // 0.271747
05651346  // 0.337177
063CAE70  // 0.389815
06CD7776  // 0.425163
07197D72  // 0.443723
0734C1F3  // 0.45038
073B1D7F  // 0.451932
0743DFD5  // 0.454071
07596514  // 0.459325
0778556C  // 0.466878
079585CD  // 0.474005
07A64004  // 0.478088
07A5F419  // 0.478016
07971813  // 0.474388
07801578  // 0.46877
07675FF2  // 0.462738
075134F5  // 0.457326
073FCE8A  // 0.453078
0734AA72  // 0.450358
07311224  // 0.44948
07355855  // 0.450524
073F45FA  // 0.452948
074975F8  // 0.455435
074CA516  // 0.456212
07427506  // 0.453725
07286EB6  // 0.447371
070174E8  // 0.437856
06D4E574  // 0.426977
06ABD25E  // 0.416949
068DC51A  // 0.409612
067E39AD  // 0.405817
067BD4D3  // 0.405232
06814869  // 0.406563
06875C2C  // 0.408047
06875739  // 0.408042
067CFEE0  // 0.405517
06679EC1  // 0.400298
0649C5A5  // 0.393011
0627EE50  // 0.384749
06067B31  // 0.376582
05E806E4  // 0.369147
05CCAFFA  // 0.362473
05B2AF0F  // 0.356124
0597D562  // 0.349569
057AE3A4  // 0.342502
055C0216  // 0.334963
053C0736  // 0.327155
051B3953  // 0.319146
04F88732  // 0.310676
04D20A58  // 0.301279
04A6CA3F  // 0.29072
04788CA6  // 0.279431
044C9465  // 0.268696
042A5F16  // 0.260345
0418DE99  // 0.256072
041B8314  // 0.256717
0430C1B8  // 0.261903
0452EC2E  // 0.270245
047AE7FC  // 0.280006
04A35A52  // 0.289881
04CA82CD  // 0.299441
04F1EEF7  // 0.309066
051C7D22  // 0.319455
054BE8D2  // 0.331033
057F72DC  // 0.343615
05B43D76  // 0.356504
05E6F1D9  // 0.368883
06158C7D  // 0.380261
06402608  // 0.390661
06683F05  // 0.400451
068F3600  // 0.409964
06B4C297  // 0.419131
06D6A244  // 0.427401
06F18E5E  // 0.433974
070325F5  // 0.438269
070B9F02  // 0.440337
070E624E  // 0.441012
071124B9  // 0.441685
0719B600  // 0.443777
072B8DD2  // 0.448133
074625B1  // 0.454626
0764F00A  // 0.462143
0781157B  // 0.469015
07942A94  // 0.473673
079AEB8A  // 0.475322
07968357  // 0.474246
078C032D  // 0.471683
078239F0  // 0.469294
077EF0EC  // 0.468491
0784FADF  // 0.469966
0793BA45  // 0.473566
07A834B2  // 0.478566
07BECD43  // 0.484082
07D4952D  // 0.4894
07E79836  // 0.494042
07F647BA  // 0.497627
07FED8E7  // 0.499719
07FF61A2  // 0.499849
07F6E5D4  // 0.497778
07E6AD59  // 0.493818
07D2EA69  // 0.488993
07C1DE99  // 0.484831

