07C910A6  // 0.486588
07CACBA1  // 0.487011
07CDBB6D  // 0.487728
07D0C915  // 0.488473
07D38C1D  // 0.489147
07D6A9C5  // 0.489908
07DB630E  // 0.491061
07E291A9  // 0.492815
07EBAE03  // 0.495039
07F481AD  // 0.497194
07F9B121  // 0.49846
07F80A01  // 0.498056
07EDFF39  // 0.495605
07DCD660  // 0.491415
07C8D7D7  // 0.486534
07B84C72  // 0.482495
07B16464  // 0.480809
07B7AF80  // 0.482345
07CA4DA7  // 0.48689
07E3C12A  // 0.493104
07FBCF3D  // 0.498977
080AB7F6  // 0.502617
080C5EC4  // 0.50302
0801D085  // 0.500443
07F05C05  // 0.496182
07DEDC11  // 0.491909
07D2A49A  // 0.488927
07CDC0F2  // 0.487733
07CF39B9  // 0.488092
07D4C3BE  // 0.489444
07DC7E67  // 0.491331
07E58F68  // 0.493545
07EF789A  // 0.495965
07F8FBD2  // 0.498287
07FFD558  // 0.499959
0801A76E  // 0.500404
07FDB9CD  // 0.499445
07F613BD  // 0.497577
07EF2BAD  // 0.495891
07EE0374  // 0.495609
07F5EA01  // 0.497538
080711EC  // 0.501726
081ED39A  // 0.507526
08391E91  // 0.513945
0852153F  // 0.52004
08670CE3  // 0.525159
087693E4  // 0.52895
088033F9  // 0.5313
08848637  // 0.532355
0885A8F1  // 0.532632
08879CB9  // 0.533108
088F9570  // 0.535055
08A23E5A  // 0.53961
08C15D1D  // 0.547208
08EA25CA  // 0.557165
09154A47  // 0.567698
0938EAEB  // 0.576396
094BBB4D  // 0.580989
09480E24  // 0.580092
092DBE41  // 0.573668
090279DF  // 0.563105
08D08308  // 0.550906
08A456D4  // 0.540122
0889BD79  // 0.533628
0888B1F4  // 0.533373
08A2D44E  // 0.539753
08D23FA6  // 0.55133
090A5EB7  // 0.565032
093AFEB6  // 0.576903
0954DC75  // 0.583218
094E4D07  // 0.581616
0926488F  // 0.571847
08E4C228  // 0.555849
0898135E  // 0.537128
0850541A  // 0.519611
081A62C4  // 0.506442
07FC3809  // 0.499077
07F3C8A7  // 0.497018
07F8B2BC  // 0.498217
07FFF9E5  // 0.499994
08003DB6  // 0.500059
07F4D5F7  // 0.497274
07DE9E5B  // 0.49185
07C275D2  // 0.484976
07A65E44  // 0.478117
078EF38D  // 0.4724
077E3882  // 0.468316
07743F3A  // 0.465881
07709DDF  // 0.464994
077386B4  // 0.465705
077D8668  // 0.468146
078E2B13  // 0.472209
07A29FE8  // 0.477203
07B59AE8  // 0.481837
07C0ED8E  // 0.484602
07C03286  // 0.484423
07B2E8E5  // 0.481179
079CCEB0  // 0.475783
078424C1  // 0.469762
076EF7C3  // 0.464592
0760E488  // 0.461155
075A9627  // 0.459616
075ADD8C  // 0.459684
07605706  // 0.46102
076A528F  // 0.463458
07785B50  // 0.466884
0788F3EA  // 0.470936
0798AD64  // 0.474775
07A2A59E  // 0.477209
07A2757A  // 0.477163
07966FF2  // 0.474228
0780F59D  // 0.468984
0767F2DC  // 0.462878
