07A8F05F  // 0.478745
07BC5E86  // 0.483489
07C78D93  // 0.486219
07C690AE  // 0.485978
07BAC4C8  // 0.483098
07A9AFDD  // 0.478927
0799E9F1  // 0.475077
078FE2EC  // 0.472629
078C4BE8  // 0.471752
078CE5F9  // 0.471899
078ED083  // 0.472367
0790B299  // 0.472827
07934E46  // 0.473463
079823B3  // 0.474643
079F530B  // 0.476398
07A67BBE  // 0.478145
07A97764  // 0.478874
07A4CED5  // 0.477736
0798366D  // 0.474661
07876A5C  // 0.47056
0778B127  // 0.466966
0771BA62  // 0.465266
0774B722  // 0.465995
077F47A0  // 0.468574
078BF7EE  // 0.471672
079530FB  // 0.473924
0797DFF1  // 0.474579
07945D31  // 0.473722
078D3973  // 0.471979
07850B93  // 0.469982
077CDA3A  // 0.467982
077444CA  // 0.465886
076B2834  // 0.463661
07635E3A  // 0.46176
07611448  // 0.461201
07690D63  // 0.463148
077DB170  // 0.468187
079CC7D7  // 0.475777
07BF8219  // 0.484255
07DD4393  // 0.49152
07EFB3D4  // 0.496021
07F5D013  // 0.497513
07F43F2E  // 0.497131
07F2ABB1  // 0.496746
07F7D67D  // 0.498007
080696C5  // 0.501609
081D77C7  // 0.507194
0838B5D2  // 0.513845
08550D86  // 0.520765
08713FA2  // 0.527649
088D8079  // 0.534546
08A97120  // 0.541368
08C25E3D  // 0.547453
08D36196  // 0.551607
08D78A75  // 0.552622
08CCD1F2  // 0.550005
08B5DCDB  // 0.5444
08997673  // 0.537466
087FE3E8  // 0.531223
086FA861  // 0.52726
086B70AD  // 0.526231
08722409  // 0.527866
08808DFE  // 0.531385
08936868  // 0.535988
08A853AF  // 0.541095
08BD7A76  // 0.546259
08D0611C  // 0.550874
08DD4495  // 0.55402
08DFC240  // 0.554629
08D4A149  // 0.551912
08BBB316  // 0.545825
08987311  // 0.537219
0870BC29  // 0.527523
084A15C3  // 0.518087
082729DA  // 0.509561
0806E209  // 0.50168
07E5D6A3  // 0.493613
07C1662E  // 0.484717
079A812B  // 0.475221
077659EE  // 0.466394
075C56A8  // 0.460044
07522DAC  // 0.457563
07587D72  // 0.459104
0769D345  // 0.463336
077CF2CE  // 0.468005
0789141E  // 0.470966
0789D106  // 0.471147
0780757F  // 0.468862
07724AB3  // 0.465403
0765077E  // 0.462165
075BB7A1  // 0.459892
0755F28B  // 0.458483
07517E3D  // 0.457396
074CF992  // 0.456293
074986E3  // 0.455451
074A27DD  // 0.455604
075149E1  // 0.457346
075E3F30  // 0.460509
076C6EE6  // 0.463973
07751E52  // 0.466093
0772D3EE  // 0.465534
0764705B  // 0.462021
074E25CF  // 0.456579
0737C8EF  // 0.451119
07296EAA  // 0.447615
07281219  // 0.447283
0733E650  // 0.450171
0748C982  // 0.45527
07603960  // 0.460992
07738EDF  // 0.465712
077D9424  // 0.468159
077B5073  // 0.467606
076C673F  // 0.463966
0753DE33  // 0.457976
0739527E  // 0.451495
0729E66C  // 0.44773
0737C4F2  // 0.451116
0776D28B  // 0.466509
07F66FF1  // 0.497665
08B99763  // 0.54531
09B083DE  // 0.605595
0AB7BE24  // 0.669859
0B9F8ADF  // 0.726451
0C3B85B0  // 0.764532
0C75A4B0  // 0.778722
0C5C7EC9  // 0.772582
0C2424F5  // 0.758824
0C154032  // 0.755188
0C6E440E  // 0.77692
0D428FAA  // 0.82875
0E674F26  // 0.900222
0F79C024  // 0.967224
10000000  // 1
0F982AFA  // 0.97465
0E2164B8  // 0.883153
0BCB9CA4  // 0.73721
090651C3  // 0.564043
0656051A  // 0.396001
04244D1A  // 0.258863
02A00C32  // 0.164074
01BA3BF1  // 0.107967
013CC88F  // 0.0773397
00EC9581  // 0.0577598
00A45E03  // 0.0401287
005CE317  // 0.0226775
00229E1C  // 0.00845157
00034993  // 0.000802588
00000000  // 0
000BC0F8  // 0.00286958
00153D8A  // 0.00518564
0013FBF7  // 0.00487896
001012E9  // 0.00392428
001FE710  // 0.00778872
005DD8F2  // 0.022912
00DBEC45  // 0.0536921
019BA471  // 0.100499
028D1D97  // 0.159452
039455B2  // 0.223715
049180AB  // 0.285523
0568F502  // 0.338124
0608DD92  // 0.377164
066C0C5F  // 0.401379
0699E29E  // 0.41257
06A36523  // 0.414891
069DCA1E  // 0.413523
069BCC57  // 0.413037
06A80285  // 0.416018
06C28661  // 0.422491
06E2EF04  // 0.430404
06FDB2FE  // 0.436938
070A1266  // 0.439959
0705C32C  // 0.438907
06F4DED1  // 0.434783
06DEEF7B  // 0.429428
06CB2EF7  // 0.424605
06BE3412  // 0.421436
06B9C08E  // 0.42035
06BDB1BD  // 0.421312
06C8C466  // 0.424015
06D86B3C  // 0.427837
06E81F90  // 0.431671
06F1A285  // 0.433993
06EECA98  // 0.433299
06DC6F6D  // 0.428817
06BCA74A  // 0.421058
0696B5EF  // 0.411795
06741ADD  // 0.403346
065C5835  // 0.397545
06519C94  // 0.394925
065054E8  // 0.394612
0651B85A  // 0.394951
064FA114  // 0.394441
06476B16  // 0.392436
063A3F7C  // 0.389221
062B08F8  // 0.385507
061BC4DC  // 0.38178
060C0F28  // 0.377944
05F9CB95  // 0.373485
05E33A60  // 0.367976
05C8F51E  // 0.361562
05AE4493  // 0.355046
0597B892  // 0.349541
0588E277  // 0.345919
058292A0  // 0.344378
05829C99  // 0.344388
0584FA04  // 0.344965
05858900  // 0.345101
0581631C  // 0.344089
05776E21  // 0.341658
056849D0  // 0.337961
05560B2F  // 0.333507
0543F414  // 0.32909
0536059B  // 0.325689
05301F01  // 0.324248
0534C189  // 0.32538
0543FD12  // 0.329099
055B2B7E  // 0.334758
0575DBFC  // 0.341274
058F7E53  // 0.347533
05A4FB5B  // 0.352779
05B561C7  // 0.356783
05C1800C  // 0.359741
05CAF7CC  // 0.362053
05D38906  // 0.364144
05DD24C9  // 0.36649
05EA4F8C  // 0.369705
05FE1919  // 0.374536
