074F870D  // 0.456916
074B63A2  // 0.455906
074416E7  // 0.454123
073E3CF6  // 0.452695
073CE3A1  // 0.452366
074019CE  // 0.45315
07454A59  // 0.454417
074924F7  // 0.455358
0749CA4D  // 0.455515
0747F839  // 0.455071
074656B3  // 0.454673
0747814C  // 0.454957
074C144A  // 0.456074
075217E4  // 0.457542
07564FB9  // 0.458572
07568B33  // 0.458629
0753981C  // 0.457909
07515613  // 0.457357
0754C59E  // 0.458196
0760FBB5  // 0.461178
0774CC5B  // 0.466015
078AA6C4  // 0.47135
079ADE63  // 0.47531
079F3E5C  // 0.476378
07960316  // 0.474124
0782A1F2  // 0.469393
076C0D8C  // 0.46388
07597D66  // 0.459348
074F93F1  // 0.456928
074F27BF  // 0.456825
07561F16  // 0.458526
076161C6  // 0.461275
076EA77F  // 0.464515
077CF446  // 0.468006
078BE99D  // 0.471658
079AA18D  // 0.475252
07A722CF  // 0.478305
07AED731  // 0.480186
07AFE920  // 0.480447
07AA99B4  // 0.47915
07A1DB6B  // 0.477016
079ABC04  // 0.475277
079AD231  // 0.475298
07A63FC7  // 0.478088
07BDFD56  // 0.483884
07DF0868  // 0.491951
0802F272  // 0.500719
0821BC99  // 0.508237
0834B7E0  // 0.512871
083965D7  // 0.514013
08330B22  // 0.512462
082A025A  // 0.510256
0828A307  // 0.509921
0836D894  // 0.51339
08564FE6  // 0.521072
08813521  // 0.531545
08AC2C78  // 0.542035
08CAD64D  // 0.549521
08D4859F  // 0.551885
08C73FCE  // 0.548645
08A7C8F3  // 0.540963
087F425B  // 0.531069
0857E313  // 0.521457
083A7659  // 0.514273
082D1529  // 0.511007
0832CB42  // 0.512401
084B401F  // 0.518372
08720EAB  // 0.527846
089E70CC  // 0.538682
08C454D7  // 0.547932
08D7685D  // 0.55259
08CF516B  // 0.550615
08AB446C  // 0.541813
0872C03F  // 0.528015
0832DDC0  // 0.512419
07F90CE5  // 0.498303
07CE0236  // 0.487795
07B337E0  // 0.481254
07A418DB  // 0.477563
0799C5CE  // 0.475042
078F27C5  // 0.47245
0782DA9E  // 0.469447
07766890  // 0.466408
076BA8A3  // 0.463784
07627559  // 0.461538
075867D3  // 0.459083
074AB3A0  // 0.455738
0738C4CC  // 0.45136
0725C34A  // 0.446719
0717993E  // 0.443261
0713F81F  // 0.442375
071CF6A2  // 0.444571
072F5E8B  // 0.449065
0743BCEA  // 0.454038
0751A891  // 0.457436
075385BF  // 0.457891
0748CAD9  // 0.455272
0735B88F  // 0.450615
0720EDEE  // 0.445539
071064B1  // 0.441502
07075D43  // 0.439298
07061A20  // 0.43899
070B05D3  // 0.440191
071438B5  // 0.442437
07203ACD  // 0.445369
072DB5C7  // 0.44866
073A9C18  // 0.451809
0743BC70  // 0.454037
07456E33  // 0.454451
073D3085  // 0.452439
072B4757  // 0.448066
07131C00  // 0.442165
06FA0614  // 0.436041
06E5073A  // 0.430915
06D73711  // 0.427543
06D29841  // 0.426415
06DB5F3D  // 0.428558
06FBC9AC  // 0.436472
0744D117  // 0.454301
07C8E7C7  // 0.486549
0890FB9C  // 0.535396
0990ABF5  // 0.59782
0AA18CBB  // 0.664441
0B8BF02E  // 0.721665
0C1D3416  // 0.75713
0C42D9BA  // 0.766321
0C1BA0FE  // 0.756745
0BF1B361  // 0.746509
0C1B250E  // 0.756627
0CCC9D42  // 0.799955
0DF48A29  // 0.872202
0F3459D9  // 0.950281
10000000  // 1
0FD8178C  // 0.990257
0E83828A  // 0.907107
0C2BE9BD  // 0.760721
094E360B  // 0.581595
0686E30E  // 0.407931
0453F168  // 0.270494
02EA7CA5  // 0.182248
0231CD73  // 0.137159
01E11119  // 0.117448
01ABA4DB  // 0.104405
