00CEA8FD  // 0.0504541
00C243D8  // 0.047428
009D66D1  // 0.0384281
009AEC26  // 0.0378229
009AF44C  // 0.0378306
00809F6D  // 0.031402
0079F43F  // 0.0297739
0073E5CA  // 0.0282953
006DA134  // 0.0267651
008984FF  // 0.0335741
009F0064  // 0.0388187
008A13A1  // 0.0337101
00B9FD76  // 0.0454077
00C24D66  // 0.0474371
009FBBC6  // 0.0389974
00BF8ED8  // 0.0467671
00BB155A  // 0.0456747
00AA2E02  // 0.0415478
00B7D5EA  // 0.0448817
00B090A8  // 0.0431067
009F73E9  // 0.0389289
00AF8A46  // 0.0428565
00B0973A  // 0.043113
009B2819  // 0.03788
00A19347  // 0.0394471
00A3B4F8  // 0.0399675
00899487  // 0.0335889
00A655F4  // 0.0406093
00ABFDAE  // 0.04199
004CE962  // 0.0187773
00000000  // 0
00000000  // 0
00000000  // 0
01E3282F  // 0.117958
02D4E250  // 0.176974
029D5980  // 0.163415
02A4D724  // 0.165244
02916C7F  // 0.160504
01F35ADE  // 0.121913
00DC553A  // 0.0537922
00C55BC9  // 0.0481832
00B765FE  // 0.044775
00B4CBF2  // 0.0441398
00B7E4C8  // 0.0448959
00B93FDF  // 0.0452269
00D52347  // 0.0520356
00DC2FF7  // 0.0537567
00ED35CD  // 0.0579126
01077052  // 0.0643161
01125EDC  // 0.066985
010FBBC4  // 0.0663412
01301E44  // 0.0742476
013C4881  // 0.0772176
0123BEFB  // 0.0712271
01182720  // 0.0683967
010D647C  // 0.0657697
00E7FEF5  // 0.0566396
00BF520E  // 0.0467091
00BB4744  // 0.0457223
009751D3  // 0.0369433
00968B24  // 0.0367538
009548CE  // 0.0364464
0081BEF8  // 0.0316763
0096D9D4  // 0.0368288

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00184409  // 0.00592426
00E2212B  // 0.0552074
017D272C  // 0.0930549
0223C1F3  // 0.13373
00BABB82  // 0.045589
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

020A4D89  // 0.127515
01EAA61F  // 0.119787
01A70523  // 0.103276
0174D70E  // 0.0910254
0172B9D5  // 0.0905093
01521B2C  // 0.0825454
0132498B  // 0.0747772
011D937A  // 0.0697207
011236E0  // 0.0669469
01227844  // 0.0709155
01647BCB  // 0.0870321
015F96D1  // 0.0858372
01790CCE  // 0.0920532
01A6D0E3  // 0.103227
018D9407  // 0.097065
01AC39FA  // 0.104547
01B8EA92  // 0.107646
01A09B73  // 0.101711
01AD9153  // 0.104875
01AD56C3  // 0.104819
0192925F  // 0.0982841
0191112E  // 0.0979168
019C9339  // 0.100726
01896A2F  // 0.0960485
017D5A07  // 0.0931034
01828667  // 0.0943665
016982BF  // 0.0882595
016E4436  // 0.0894205
01849B50  // 0.0948747
01392F90  // 0.0764614
00000000  // 0
00000000  // 0
00000000  // 0
005014FA  // 0.0195513
05256AC7  // 0.321635
060E90BA  // 0.378556
0642E4DC  // 0.391332
063BCBA8  // 0.389599
057C583A  // 0.342858
0370BD66  // 0.215024
02149BA3  // 0.130031
01D77B40  // 0.115108
01A7A36B  // 0.103427
01B26C5B  // 0.10606
01B58410  // 0.106815
01DD638E  // 0.11655
020325B2  // 0.125768
021ED5B4  // 0.132528
025659EA  // 0.146082
02803045  // 0.156296
02890091  // 0.158448
02B011BC  // 0.167986
02DE2083  // 0.17923
02D2E0D7  // 0.176484
02AF0047  // 0.167725
02980959  // 0.162118
025E1A7F  // 0.147974
01FF7735  // 0.12487
01D24FC4  // 0.113846
0198EFA9  // 0.0998379
0167C76F  // 0.0878367
0166A053  // 0.0875552
014D5382  // 0.0813785
01538EED  // 0.0829

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
004F022B  // 0.0192892
00F7223F  // 0.0603354
01F2B52C  // 0.121755
03934911  // 0.223458
00E85508  // 0.0567217
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
0065F8C6  // 0.0248955
0361FFD7  // 0.211426
05F49BE9  // 0.372219
0871DDD3  // 0.527799
02B89B68  // 0.17007
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

