011F17C5  // 0.070091
010E3342  // 0.0659669
00F19516  // 0.0589801
00CB405F  // 0.0496219
00C71722  // 0.048606
00BE9430  // 0.046528
00A7902B  // 0.040909
009A331F  // 0.0376464
009609C9  // 0.0366304
008989DE  // 0.0335787
00B4654C  // 0.0440419
00C3BEAA  // 0.0477893
00ABB0FF  // 0.0419168
00E8D432  // 0.056843
00E0B4E9  // 0.05486
00D6FF9E  // 0.0524899
00ECF9B7  // 0.0578553
00E4DF89  // 0.0558772
00DF8A10  // 0.054575
00E638BA  // 0.0562064
00DD12AD  // 0.0539729
00CC4592  // 0.049871
00DDFA8A  // 0.054194
00D89BDC  // 0.052883
00C820E2  // 0.0488595
00CF67F0  // 0.0506362
00CC50CC  // 0.0498817
00B51675  // 0.0442109
00D37040  // 0.0516207
00DD1723  // 0.0539771
FF6D7CB3  // -0.0357697
FF315E65  // -0.0504471
FEED1E47  // -0.0671098
FE7EDD0C  // -0.0940275
022CBD94  // 0.135923
0321641A  // 0.195652
034D086B  // 0.206307
03556FDA  // 0.208359
033CA523  // 0.202306
025AC5D5  // 0.147161
013A310E  // 0.0767069
0106FF21  // 0.0642082
00E3B247  // 0.0555899
00E62B7B  // 0.0561938
00E6437E  // 0.0562167
00EF6D60  // 0.0584539
010CC071  // 0.0656132
0114BDA2  // 0.0675637
013003F3  // 0.0742225
014C705C  // 0.0811618
01577812  // 0.0838547
015B9D88  // 0.084867
0183B794  // 0.0946575
01888C58  // 0.095837
01714388  // 0.0901523
0166EA0F  // 0.0876256
0155003E  // 0.0832522
01229CF2  // 0.0709505
00FDAA47  // 0.06193
00EAB48E  // 0.0573011
00C2B1C8  // 0.0475328
00BFD426  // 0.0468332
00B92A24  // 0.0452062
00AAE72F  // 0.0417244

FF16E2C3  // -0.0569126
FF2BAFF1  // -0.0518342
FF4B38E3  // -0.0441352
FF56A970  // -0.0413423
FF5A653E  // -0.0404308
FF6CF089  // -0.0359034
FF788E07  // -0.0330677
FF7EE929  // -0.0315159
FF86709B  // -0.0296778
FF865CAE  // -0.0296968
FF6B1705  // -0.036355
FF67DF96  // -0.0371403
FF680F89  // -0.0370946
FF411D03  // -0.0466032
FF4EAC4D  // -0.0432927
FF488775  // -0.0447927
FF38D982  // -0.0486207
FF43EFFA  // -0.0459137
FF40A6F9  // -0.0467158
FF3FB695  // -0.046945
FF4CE352  // -0.0437285
FF4E09C9  // -0.0434477
FF446227  // -0.0458048
FF50BF7D  // -0.0427861
FF52B382  // -0.0423093
FF50989C  // -0.0428232
FF62A63A  // -0.0384157
FF62C590  // -0.0383858
FF4F071D  // -0.0432061
FFC6744D  // -0.0140492
00A9E8F0  // 0.0414819
00F60643  // 0.0600646
01C77EA8  // 0.111205
0150D1BB  // 0.0822313
FE9900E1  // -0.0876456
FD5A8EF1  // -0.165391
FD2AB304  // -0.177075
FD3A50C8  // -0.173263
FDDE1314  // -0.133283
FECC1E54  // -0.0751664
FF1C152B  // -0.0556439
FF34A2BD  // -0.0496495
FF3E2AE2  // -0.0473224
FF3A90FE  // -0.0482016
FF391199  // -0.0485672
FF31873A  // -0.0504081
FF1B40A3  // -0.0558466
FF0FD4EE  // -0.0586348
FEFC1B85  // -0.0634503
FEE3AF39  // -0.069413
FED776E5  // -0.0723964
FED23D47  // -0.073672
FEB7522C  // -0.0802439
FEBD31B9  // -0.07881
FEC960EA  // -0.0758353
FED8B59A  // -0.0720924
FEFE1A4D  // -0.0629632
FF21A93C  // -0.054282
FF33A705  // -0.0498895
FF5203A5  // -0.042477
FF5BF870  // -0.0400463
FF5F2B20  // -0.0392655
FF6C1DC9  // -0.0361044
FF6B9CCB  // -0.0362274

023788F1  // 0.138558
0214C2EF  // 0.130069
01D0F981  // 0.113519
0194178E  // 0.0986553
018DBF8C  // 0.0971065
01721C23  // 0.0903589
014C0DD3  // 0.0810679
0134864C  // 0.0753234
01292FEC  // 0.0725555
012E2470  // 0.0737652
0178F088  // 0.0920263
017ECF4E  // 0.0934594
0183B723  // 0.0946571
01CABF14  // 0.111999
01B3C94D  // 0.106393
01C43F6A  // 0.110412
01D7AAED  // 0.115153
01C47829  // 0.110466
01CA7EB5  // 0.111937
01CE7400  // 0.112904
01B501B8  // 0.106691
01A998B9  // 0.103905
01B9C7D0  // 0.107857
01AB7ADD  // 0.104365
0197D818  // 0.0995713
019D6A1D  // 0.100931
018BE1CF  // 0.0966509
01814233  // 0.0940573
01A3BDC8  // 0.102476
016FA0AE  // 0.0897528
FF8C1877  // -0.028297
FE28FB2D  // -0.114995
FCE676D6  // -0.193734
FF502F7C  // -0.0429235
052AAEF9  // 0.322921
06745E8E  // 0.40341
06B60D15  // 0.419446
06B5AB42  // 0.419353
0615D033  // 0.380326
0405E41C  // 0.251438
0250F55F  // 0.144765
0201F4F7  // 0.125478
01C7D17D  // 0.111284
01D25A51  // 0.113856
01D402F4  // 0.114261
01F8483A  // 0.123116
02266979  // 0.134378
02405AD7  // 0.140712
027A60BC  // 0.154877
02AB0922  // 0.166757
02B8B2E9  // 0.170092
02D884B7  // 0.177861
0312F343  // 0.192127
030DCE64  // 0.190871
02E4F56F  // 0.180898
02CD292E  // 0.175088
0296AACE  // 0.161784
0231842A  // 0.137089
01F892FB  // 0.123187
01C21F12  // 0.109893
01851210  // 0.0949879
018127C8  // 0.0940321
016B30E5  // 0.0886697
01671311  // 0.0876647

002B7934  // 0.0106136
0029D510  // 0.010213
00295EFE  // 0.0101004
001D679E  // 0.0071789
001B38B4  // 0.00664587
001EBB8D  // 0.00750308
00170E92  // 0.00562913
0014AEDE  // 0.00504958
001500B3  // 0.00512762
