05DE  // 0.366699
047C  // 0.280273
05A8  // 0.353516
0544  // 0.329102
0511  // 0.31665
0540  // 0.328125
0520  // 0.320312
045C  // 0.272461
04EB  // 0.307373
04BC  // 0.295898
0447  // 0.267334
03C9  // 0.236572
02EF  // 0.18335
02EA  // 0.182129
0378  // 0.216797
03A3  // 0.227295
0275  // 0.153564
03DE  // 0.241699
044E  // 0.269043
04ED  // 0.307861
066E  // 0.401855
064E  // 0.394043
0500  // 0.3125
0599  // 0.349854
058A  // 0.346191
0526  // 0.321777
0527  // 0.322021
0581  // 0.343994
04BA  // 0.29541
04E6  // 0.306152
0013  // 0.00463867
0000  // 0
0000  // 0
0473  // 0.278076
0DC1  // 0.859619
1221  // 1.13306
12CB  // 1.17456
124D  // 1.1438
10B4  // 1.04395
0D9F  // 0.851318
0865  // 0.524658
0738  // 0.451172
0691  // 0.4104
062E  // 0.38623
0678  // 0.404297
05B7  // 0.357178
063F  // 0.390381
066D  // 0.401611
077E  // 0.468262
07B2  // 0.480957
076D  // 0.464111
08AF  // 0.542725
0892  // 0.535645
08E7  // 0.556396
0918  // 0.568359
0862  // 0.523926
08B1  // 0.543213
07F1  // 0.496338
075C  // 0.459961
05A5  // 0.352783
05B8  // 0.357422
0507  // 0.314209
0480  // 0.28125
0434  // 0.262695

0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0045  // 0.0168457
00C3  // 0.0476074
01F4  // 0.12207
0126  // 0.0717773
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0

08CC  // 0.549805
071F  // 0.445068
0893  // 0.535889
0832  // 0.512207
07B1  // 0.480713
0803  // 0.500732
07DE  // 0.491699
0693  // 0.410889
0789  // 0.470947
074A  // 0.455566
069D  // 0.41333
05C8  // 0.361328
04AB  // 0.291748
0447  // 0.267334
054F  // 0.331787
0583  // 0.344482
0401  // 0.250244
05A0  // 0.351562
0695  // 0.411377
0754  // 0.458008
09C0  // 0.609375
09B3  // 0.606201
07AD  // 0.479736
0891  // 0.5354
087D  // 0.530518
07F6  // 0.497559
07A9  // 0.47876
0861  // 0.523682
070B  // 0.440186
077A  // 0.467285
00BB  // 0.0456543
0000  // 0
0000  // 0
0515  // 0.317627
1498  // 1.28711
1B5A  // 1.70947
1CB5  // 1.79419
1C03  // 1.75073
19C5  // 1.6106
1530  // 1.32422
0D54  // 0.833008
0B03  // 0.688232
0A38  // 0.638672
094C  // 0.581055
09DF  // 0.616943
08B3  // 0.543701
0987  // 0.595459
09C2  // 0.609863
0B5C  // 0.709961
0BBF  // 0.734131
0B65  // 0.712158
0D1B  // 0.819092
0D31  // 0.824463
0D5E  // 0.835449
0DF0  // 0.871094
0CA2  // 0.789551
0D43  // 0.828857
0C2E  // 0.76123
0B62  // 0.711426
08BA  // 0.54541
08B7  // 0.544678
07C5  // 0.485596
06E6  // 0.431152
067E  // 0.405762

0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
00D3  // 0.0515137
0237  // 0.138428
0631  // 0.386963
03FC  // 0.249023
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0

0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
02CC  // 0.174805
0911  // 0.56665
132B  // 1.198
092C  // 0.573242
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0

