042A  // 0.260254
0414  // 0.254883
0343  // 0.203857
0378  // 0.216797
03C0  // 0.234375
02FB  // 0.186279
033D  // 0.202393
0392  // 0.223145
037F  // 0.218506
037A  // 0.217285
02C7  // 0.173584
02B5  // 0.169189
020E  // 0.128418
01E5  // 0.118408
01CE  // 0.112793
02B9  // 0.170166
024E  // 0.144043
01C3  // 0.110107
0379  // 0.217041
0327  // 0.197021
038B  // 0.221436
0480  // 0.28125
043E  // 0.265137
039E  // 0.226074
02FA  // 0.186035
033E  // 0.202637
035A  // 0.209473
041C  // 0.256836
044D  // 0.268799
0265  // 0.149658
0000  // 0
0000  // 0
0000  // 0
04AB  // 0.291748
0BDC  // 0.741211
0CA6  // 0.790527
0D6C  // 0.838867
0DBD  // 0.858643
0C27  // 0.759521
07CC  // 0.487305
0545  // 0.329346
049E  // 0.288574
04FE  // 0.312012
04A1  // 0.289307
04D2  // 0.30127
04FA  // 0.311035
0531  // 0.324463
0589  // 0.345947
05E8  // 0.369141
062B  // 0.385498
06A5  // 0.415283
06A1  // 0.414307
0708  // 0.439453
06FE  // 0.437012
06AC  // 0.416992
06A1  // 0.414307
05F9  // 0.373291
059F  // 0.351318
04FA  // 0.311035
0424  // 0.258789
0438  // 0.263672
03B7  // 0.232178
0398  // 0.224609
039B  // 0.225342

0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0011  // 0.00415039
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0058  // 0.0214844
007D  // 0.0305176
007B  // 0.0300293
00D8  // 0.0527344
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0

057C  // 0.342773
057D  // 0.343018
047E  // 0.280762
048F  // 0.284912
04FB  // 0.311279
044E  // 0.269043
03FE  // 0.249512
04A8  // 0.291016
0491  // 0.2854
04A8  // 0.291016
03D5  // 0.239502
03A1  // 0.226807
02E3  // 0.18042
0286  // 0.157715
0254  // 0.145508
037E  // 0.218262
0349  // 0.205322
01F7  // 0.122803
047A  // 0.279785
0460  // 0.273438
047C  // 0.280273
05E8  // 0.369141
05CB  // 0.362061
04EB  // 0.307373
0423  // 0.258545
0439  // 0.263916
0474  // 0.27832
0549  // 0.330322
05AE  // 0.35498
03D1  // 0.238525
0000  // 0
0000  // 0
0000  // 0
0379  // 0.217041
0F16  // 0.942871
10CD  // 1.05005
11B5  // 1.10669
1235  // 1.13794
10C0  // 1.04688
0B5D  // 0.710205
074B  // 0.455811
0657  // 0.39624
0694  // 0.411133
065B  // 0.397217
063E  // 0.390137
06A4  // 0.415039
06DF  // 0.429443
074D  // 0.456299
07D5  // 0.489502
082A  // 0.510254
08C9  // 0.549072
08DB  // 0.553467
0943  // 0.578857
095B  // 0.584717
08DA  // 0.553223
08DD  // 0.553955
081B  // 0.506592
0791  // 0.4729
06CE  // 0.425293
05AA  // 0.354004
0597  // 0.349365
051D  // 0.31958
04C1  // 0.297119
04D0  // 0.300781

007A  // 0.0297852
0066  // 0.0249023
005D  // 0.0227051
0067  // 0.0251465
0075  // 0.0285645
0028  // 0.00976562
007F  // 0.0310059
0066  // 0.0249023
006A  // 0.0258789
0058  // 0.0214844
004E  // 0.019043
0045  // 0.0168457
0033  // 0.0124512
0032  // 0.012207
0040  // 0.015625
005E  // 0.0229492
001F  // 0.00756836
0067  // 0.0251465
0089  // 0.0334473
0043  // 0.0163574
0082  // 0.0317383
0090  // 0.0351562
0064  // 0.0244141
005A  // 0.0219727
004A  // 0.0180664
0064  // 0.0244141
005E  // 0.0229492
0086  // 0.0327148
0079  // 0.029541
0000  // 0
0000  // 0
0000  // 0
0000  // 0
01B4  // 0.106445
01C6  // 0.11084
0164  // 0.0869141
0187  // 0.095459
0182  // 0.0942383
0109  // 0.0646973
006C  // 0.0263672
0080  // 0.03125
0077  // 0.0290527
009A  // 0.0375977
0069  // 0.0256348
0099  // 0.0373535
0089  // 0.0334473
0093  // 0.0358887
00A2  // 0.0395508
00A9  // 0.0412598
00B4  // 0.0439453
00BE  // 0.0463867
00B3  // 0.0437012
00CD  // 0.0500488
00B8  // 0.0449219
00BD  // 0.0461426
00B0  // 0.0429688
0099  // 0.0373535
0093  // 0.0358887
0075  // 0.0285645
0076  // 0.0288086
0077  // 0.0290527
0058  // 0.0214844
0067  // 0.0251465
0064  // 0.0244141

0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
04D8  // 0.302734
06BE  // 0.421387
0C62  // 0.773926
07B5  // 0.481689
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0

