00B6336E  // 0.0444826
00B5B444  // 0.0443614
00B1AF0D  // 0.0433798
00D351EB  // 0.0515918
00D98E58  // 0.0531143
00BE9E94  // 0.046538
00C3521F  // 0.0476857
00B2F0E8  // 0.0436868
009B7670  // 0.0379547
00AAD1C8  // 0.041704
009F791C  // 0.0389339
00A1BE7C  // 0.0394883
0073767B  // 0.0281892
00754169  // 0.0286268
009627E8  // 0.0366592
007F95A5  // 0.0311486
006BE79C  // 0.0263439
0091848D  // 0.0355268
00ABB933  // 0.0419247
00A99054  // 0.0413974
00B34671  // 0.0437684
00B5BEBA  // 0.0443713
00D08B8E  // 0.0509143
00CF8B71  // 0.0506701
00C464B6  // 0.0479476
00EE06E6  // 0.058112
00FCF13A  // 0.0617535
00C62B0B  // 0.0483809
00C0E93B  // 0.0470974
0003DF28  // 0.00094524
00000000  // 0
00000000  // 0
00000000  // 0
01C15F1D  // 0.10971
0263B7CD  // 0.149345
023C4F1E  // 0.139724
024D0138  // 0.1438
024AA617  // 0.143225
021332D4  // 0.129687
013BCAA5  // 0.0770976
00BD37E6  // 0.0461959
00D6EC12  // 0.0524712
00A7719E  // 0.0408798
00C0A5F7  // 0.0470333
00C6135B  // 0.0483583
00C2B6A2  // 0.0475375
00DCF0CA  // 0.0539406
00DE5A07  // 0.0542851
00E4C57A  // 0.0558524
010DA0E7  // 0.0658273
01130B7F  // 0.0671496
0112165D  // 0.0669159
01213440  // 0.0706065
012DDC5B  // 0.0736965
01203458  // 0.0703624
01165CC7  // 0.0679596
0110FAB3  // 0.0666453
00E460D5  // 0.0557564
00DC366D  // 0.0537628
00C33B46  // 0.0476639
00A98889  // 0.04139
00973ED2  // 0.0369251
00954036  // 0.0364382
007E47E7  // 0.0308303

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
003A8F52  // 0.0142968
00A2EFAE  // 0.0397794
01236505  // 0.0711413
01817E67  // 0.0941147
00285D4A  // 0.00985459
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
