0087F192  // 0.0331894
008CCDAE  // 0.0343758
007B08FB  // 0.0300379
008A6863  // 0.033791
00872BDD  // 0.0330008
007D1170  // 0.0305342
007F19D0  // 0.0310305
00870EC8  // 0.0329731
00722B77  // 0.0278735
006EDFB3  // 0.0270688
006D33FE  // 0.0266609
005276DE  // 0.0201329
00454F24  // 0.0169212
00379E3C  // 0.0135786
0032B6B6  // 0.0123813
0054AED8  // 0.0206746
00457585  // 0.0169578
00273EA3  // 0.00958122
00655E83  // 0.0247483
0070AD33  // 0.0275089
0071CB5D  // 0.0277818
0080F521  // 0.0314838
0083FBBE  // 0.0322225
0074C633  // 0.0285093
0078DF40  // 0.0295098
0076C690  // 0.028998
006FEE4C  // 0.0273269
0087EDFD  // 0.0331859
0098E30C  // 0.0373259
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
016CDF91  // 0.0890804
0204AF1E  // 0.126144
01FD294B  // 0.124307
0202F703  // 0.125724
01FB2B33  // 0.12382
01BD8D91  // 0.108778
00BD9924  // 0.0462886
007A0581  // 0.0297904
00777FC4  // 0.0291746
007AAD4D  // 0.0299504
0089030A  // 0.0334502
00843AA3  // 0.0322825
00991E97  // 0.0373827
00B11A0F  // 0.0432377
00A91314  // 0.041278
00C53A71  // 0.0481514
00DC1A77  // 0.0537362
00F57FAA  // 0.0599362
0116FC79  // 0.0681119
012E13DA  // 0.0737494
011D744A  // 0.069691
00F41BE8  // 0.0595969
00CC6657  // 0.0499023
00A68BBB  // 0.0406606
008B94B4  // 0.0340774
00898667  // 0.0335754
00799014  // 0.0296784
00745548  // 0.0284016
0076F52F  // 0.0290424
00614EDA  // 0.0237568
005E3712  // 0.0230017

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
004F3A69  // 0.0193428
009BD2B5  // 0.0380427
00F765FA  // 0.0604
017CEA7D  // 0.0929971
007717FA  // 0.0290756
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

0139EECC  // 0.0766438
01469BA6  // 0.0797383
013AD7BF  // 0.0768659
013C503E  // 0.077225
0141D016  // 0.0785676
01367F91  // 0.0758053
012670EE  // 0.071885
01358497  // 0.0755659
012822E2  // 0.0722989
01101961  // 0.0664305
0109E0E1  // 0.0649117
00E8D1E3  // 0.0568408
00B72F19  // 0.0447227
009DCD40  // 0.0385258
007236F9  // 0.0278845
00A53B1C  // 0.0403396
00AC1878  // 0.0420155
00580295  // 0.0214868
00B15987  // 0.0432983
00F4051D  // 0.0595752
01099832  // 0.0648424
01202F78  // 0.0703578
012F833B  // 0.0740998
01266A9A  // 0.071879
011DFD6E  // 0.0698218
011E48B1  // 0.0698935
01141C16  // 0.0674096
01238CBA  // 0.0711791
01448185  // 0.0792251
00BDB85A  // 0.0463184
00000000  // 0
00000000  // 0
00000000  // 0
0056C5FF  // 0.0211849
03A9FB2E  // 0.228999
0471488C  // 0.277657
04B42F33  // 0.29399
04BA2D2A  // 0.295453
0484E2E2  // 0.282443
0304356A  // 0.188528
01784DF6  // 0.0918712
01305E59  // 0.0743087
0112CFFC  // 0.0670929
0137ADAB  // 0.0760934
013C8F54  // 0.0772851
014BF25E  // 0.0810417
018CE5DD  // 0.0968989
0194C2B9  // 0.0988185
01B57034  // 0.106796
01EFEE87  // 0.121077
0228461E  // 0.134832
026DCF75  // 0.151809
02B623DE  // 0.169468
02B7EFB5  // 0.169906
02789F9B  // 0.154449
0223B791  // 0.13372
01C4C153  // 0.110536
01788110  // 0.09192
015283F3  // 0.0826454
013C2D8E  // 0.0771919
011161F8  // 0.0667438
01165892  // 0.0679556
01019E04  // 0.0628948
00DFDEE7  // 0.0546559

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00A1499A  // 0.0393768
00D0BD97  // 0.0509621
014BA79E  // 0.0809704
029265E6  // 0.160742
008701AF  // 0.0329606
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
01345B75  // 0.0752825
02555ED9  // 0.145842
03E33293  // 0.242968
05DF0E00  // 0.366957
01B6E816  // 0.107155
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

