1A54D840  // 1.64571
12E142BE  // 1.18
1680BF44  // 1.40643
19BA4411  // 1.60798
197853A6  // 1.59188
18362431  // 1.51322
16828098  // 1.40686
028E8633  // 0.159796
5FC9381C  // 5.98663
5475B9BC  // 5.27874
1A73DEFE  // 1.65329
22DB5CE9  // 2.17856
2AD66CDA  // 2.67735
29E5D060  // 2.61861
1C79FBD8  // 1.77978

0981CB84  // 0.594188
06817C76  // 0.406613
05CF0FC7  // 0.363052
077C1C08  // 0.4678
07A0A9E4  // 0.476725
07482EC3  // 0.455123
0BF0D903  // 0.746301
286BDD9F  // 2.52633
193BDD3F  // 1.57712
21758A35  // 2.0912
08E4B136  // 0.555833
08E47ECD  // 0.555785
0BE188EC  // 0.742562
0D29A353  // 0.822666
0A8BF255  // 0.659167

