1C9D  // 1.78833
1B53  // 1.70776
17E0  // 1.49219
11E2  // 1.11768
1F27  // 1.94702
1F34  // 1.9502
1CA8  // 1.79102
093F  // 0.577881
625A  // 6.14697
5B01  // 5.68774
2591  // 2.3479
26A0  // 2.41406
2EF9  // 2.93579
3060  // 3.02344
27F3  // 2.49683

065E  // 0.397949
05DD  // 0.366455
0542  // 0.328613
03AD  // 0.229736
061C  // 0.381836
06BE  // 0.421387
0744  // 0.454102
1C2C  // 1.76074
130F  // 1.19116
1421  // 1.25806
0884  // 0.532227
07D8  // 0.490234
0967  // 0.587646
0A37  // 0.638428
091A  // 0.568848

