001930AE  // 0.00614994
0015B588  // 0.00530007
000F8CB5  // 0.0037963
001C27CB  // 0.00687389
00184F80  // 0.00593519
001C98A2  // 0.0069815
00160247  // 0.00537327
00C14D4A  // 0.0471928
003B239E  // 0.0144383
003C28BE  // 0.0146873
00219D10  // 0.00820643
002754A5  // 0.00960221
002BD6FE  // 0.0107031
002815C4  // 0.00978638
001A3E22  // 0.00640691

00187EAC  // 0.00598018
0017F25A  // 0.00584636
000EE6D3  // 0.0036381
000EBDC9  // 0.00359896
0014F49D  // 0.00511609
001BCB74  // 0.00678582
001B342B  // 0.00664155
FFDD26AC  // -0.00850804
003D65A4  // 0.0149895
0055B14A  // 0.020921
002D1E26  // 0.0110151
002385AF  // 0.00867241
0032ADA6  // 0.0123726
002DA878  // 0.011147
001EAEC0  // 0.00749087

