FEFCE656  // -0.0632569
FF14C745  // -0.0574271
FF56589A  // -0.0414194
FF93E0BD  // -0.026397
FF523D3A  // -0.0424221
FEB566EC  // -0.0807124
FED9CC7D  // -0.0718265
FF7055AE  // -0.0350745
FBC53C4F  // -0.264347
FCACAF4E  // -0.207841
FE82CC7A  // -0.0930667
FE723FF0  // -0.097107
FE1104BF  // -0.120845
FDD9E86A  // -0.1343
FE9CAD77  // -0.0867486

FF73723E  // -0.0343149
FF7E15F7  // -0.0317173
FFCCDA66  // -0.012487
FFAD3A55  // -0.020208
FF4FFF5E  // -0.0429694
FF30D24D  // -0.0505807
FF2CAD84  // -0.0515923
FEC8FBBF  // -0.0759318
FD2EF555  // -0.176036
FF47EB5F  // -0.0449415
FF23D4CF  // -0.0537521
FEF5DD58  // -0.0649745
FEB0F202  // -0.0818005
FF00468C  // -0.0624327
FF6D5291  // -0.0358099

