001E40DE  // 0.00738608
00162286  // 0.00540402
0016488B  // 0.00544028
001B9B6C  // 0.00674002
0017460D  // 0.00568204
001D21A3  // 0.00711216
001BFCFC  // 0.00683306
00A4821C  // 0.0401631
003AA5E7  // 0.0143184
0046707A  // 0.0171971
0020F9C0  // 0.00805068
002AFD10  // 0.0104952
002C0361  // 0.0107454
0020A078  // 0.00796553
001C84C2  // 0.00696255

001C015A  // 0.00683723
001913ED  // 0.00612252
0013A9C4  // 0.00480057
00107905  // 0.00402166
0015B309  // 0.00529769
001E3FB9  // 0.00738499
002003A2  // 0.00781596
FFE28755  // -0.00719516
002EDB08  // 0.0114394
005951B7  // 0.0218064
002BCE1C  // 0.0106946
0024C0F4  // 0.00897308
002D9C46  // 0.0111354
002DA4D9  // 0.0111435
00229081  // 0.00843859

