052C91A3  // 0.323381
050D023C  // 0.315676
04DC6AEC  // 0.303813
04875870  // 0.283043
042879EB  // 0.259882
03DBD294  // 0.241168
03B386A1  // 0.23133
03B1DFE1  // 0.230926
03B38498  // 0.231328
039051A5  // 0.222734
03559E04  // 0.208403
0328CE14  // 0.197462
0309ABEB  // 0.189861
02EAEB42  // 0.182353
02D72DBE  // 0.177534
02CDF9CC  // 0.175287
02B8A21B  // 0.170076
029ED2D1  // 0.163775
02AC1F50  // 0.167022
02F63C77  // 0.185116
035C531C  // 0.21004
039795BF  // 0.224508
037AACB0  // 0.21745
033F68FD  // 0.202981
035C3963  // 0.210016
03DDCF44  // 0.241653
0442F9D5  // 0.266352
0431E0FF  // 0.262177
03EBBF31  // 0.245055
03DB9B53  // 0.241115
04110E90  // 0.254164
04523933  // 0.270074
0469A52C  // 0.275792
044D1213  // 0.268816
04219F97  // 0.258209
0418515D  // 0.255937
0434F251  // 0.262926
044E2BAA  // 0.269085
04474B63  // 0.267406
0426F3F1  // 0.25951
03FDBF7C  // 0.24945
03DF247E  // 0.241978
03E3BB44  // 0.243099
0408E889  // 0.252175
042256BB  // 0.258383
040FA14F  // 0.253816
03E630EF  // 0.243699
03CADFF2  // 0.23703
03C65947  // 0.235925
03D192A9  // 0.238665
03DE3729  // 0.241752
03CBFF00  // 0.237304
039085E6  // 0.222784
0361D1F3  // 0.211382
0375A269  // 0.216219
03B4B0FD  // 0.231614
03E9F6A1  // 0.24462
03DA89AF  // 0.240854
02E92BDF  // 0.181927
0085D299  // 0.0326715
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
02633DA0  // 0.149229
09D6E207  // 0.614962
0DBC9DE6  // 0.858549
0F0E43BC  // 0.940983
0F90D3E4  // 0.972858
0FE4B86D  // 0.99334
10069DF7  // 1.00162
0FE7A04F  // 0.994049
0F453441  // 0.954396
0DB3A8E3  // 0.856362
0B24C54A  // 0.696477
0847E2DB  // 0.51755
06256E6B  // 0.384139
052F30DD  // 0.324021
04E8C6DF  // 0.30683
04A8DCF9  // 0.291226
045742FD  // 0.271304
0431859A  // 0.26209
043EE439  // 0.265354
0452F089  // 0.270249
0456F30A  // 0.271228
045536FC  // 0.270804
0461D2CF  // 0.273883
048D78B4  // 0.284539
04D172AD  // 0.301135
050BDEDB  // 0.315398
0529B9B6  // 0.322687
05432724  // 0.328895
05765FBD  // 0.3414
05BEF133  // 0.359117
0606B508  // 0.376637
0642A4CD  // 0.39127
066B6C33  // 0.401226
06790B8A  // 0.404552
067C3B83  // 0.40533
069EC900  // 0.413766
06EF3CF5  // 0.433408
0740088F  // 0.453133
07569449  // 0.458638
072F8A13  // 0.449106
06F9E449  // 0.436009
06D6F87B  // 0.427483
06BE5B32  // 0.421474
069AB9AF  // 0.412775
065D6343  // 0.3978
05FA3499  // 0.373585
0579C06B  // 0.342225
05087E93  // 0.314574
04C8C510  // 0.299016
04A120EA  // 0.289338
0460AA80  // 0.2736
04044887  // 0.251046
03B56E52  // 0.231795
039379BD  // 0.223505
0394B1AF  // 0.223802
03944149  // 0.223695
037837F4  // 0.21685
034C2D16  // 0.206098
0332E84B  // 0.199929
03419371  // 0.20351
036C9B95  // 0.214016
038F3EEB  // 0.222472

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
003E5A5E  // 0.0152229
006D94B7  // 0.0267532
007707FF  // 0.0290604
0097BC2B  // 0.0370447
00E83A01  // 0.0566959
010E8ABD  // 0.0660503
00A42E8D  // 0.0400835
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

06C8F079  // 0.424057
06905FFD  // 0.410248
065CB574  // 0.397634
05FF3201  // 0.374804
0586EF46  // 0.345443
051A8981  // 0.318979
04D5F06F  // 0.302231
04C35485  // 0.297688
04C68FB3  // 0.298477
04AB3BD4  // 0.291805
04682588  // 0.275426
0426042D  // 0.259281
03F86675  // 0.248145
03D1594C  // 0.238611
03B2481C  // 0.231026
03A21FD9  // 0.227081
038D487E  // 0.221993
036CFD80  // 0.214109
036A779D  // 0.213493
03AF1C2F  // 0.230251
04297B64  // 0.260127
048CEA4C  // 0.284403
048FA19E  // 0.285066
044B7CBC  // 0.26843
04437D1A  // 0.266477
04C03B4E  // 0.296932
055802A0  // 0.333987
05792DB5  // 0.342085
052FE3F6  // 0.324192
04FD6A86  // 0.311869
0524B5B5  // 0.321462
0577E3DF  // 0.34177
05AB0E39  // 0.354262
059C9592  // 0.350729
05682EE4  // 0.337935
054A985F  // 0.330712
055F9C8D  // 0.335843
05847D48  // 0.344846
058ADD39  // 0.346402
056B4DBE  // 0.338697
0538DA8C  // 0.32638
050B9244  // 0.315325
0500E99B  // 0.312723
052376D0  // 0.321158
054C5F6B  // 0.331146
0548D27E  // 0.330279
051B3DDE  // 0.319151
04EFAD99  // 0.308515
04DFD9F0  // 0.304651
04E821FD  // 0.306673
04F8D41A  // 0.310749
04F0A478  // 0.308751
04B5CB07  // 0.294383
047022C3  // 0.277377
046A31EF  // 0.275927
04AB4166  // 0.29181
04F79D00  // 0.310452
05051890  // 0.313744
043919C5  // 0.263941
01CA4A73  // 0.111887
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
099B403A  // 0.600403
104ACB27  // 1.01826
1301ED35  // 1.18797
13E7C54D  // 1.24408
1461AA21  // 1.27384
14A4311B  // 1.29009
149900D0  // 1.28735
1404765D  // 1.25109
126B72DC  // 1.15123
0F8A4249  // 0.971255
0BED152A  // 0.745382
08CB616F  // 0.549653
0707FAF0  // 0.439448
066B71D0  // 0.401232
062036DD  // 0.382865
05BE4A1C  // 0.358957
05768AC1  // 0.341441
057231FA  // 0.34038
058C4401  // 0.346745
059958F2  // 0.349938
0598A43A  // 0.349766
05A17D24  // 0.351926
05CB973B  // 0.362205
061999CB  // 0.38125
066B5F50  // 0.401214
069F071C  // 0.413825
06BFDCE9  // 0.421842
06F52912  // 0.434854
074A5326  // 0.455646
07A8BD3C  // 0.478696
07FBB72A  // 0.498954
0839030F  // 0.513919
0856AE57  // 0.521162
085DEF51  // 0.522933
087A61E4  // 0.529879
08CE1AF5  // 0.550319
09399BAE  // 0.576564
09732D94  // 0.59062
095ABBD3  // 0.584652
091884CE  // 0.568486
08E1AEC6  // 0.555098
08BE68FC  // 0.546487
08967ED4  // 0.536742
08532CEA  // 0.520307
07E4129D  // 0.493182
074A016C  // 0.455568
06AE4883  // 0.41755
0644FD8A  // 0.391843
0609ABCB  // 0.377361
05C41F32  // 0.360381
0558752F  // 0.334096
04EA0187  // 0.30713
04A942C4  // 0.291323
049CC8DA  // 0.288277
049F5B81  // 0.288906
04885B91  // 0.28329
0455435F  // 0.270816
042A546B  // 0.260334
042B13EC  // 0.260517
04578520  // 0.271367
048A43E7  // 0.283756

00539516  // 0.0204059
0057AE75  // 0.0214066
004BEDC2  // 0.0185373
003D5EAB  // 0.0149829
0036A1CD  // 0.0133379
00372686  // 0.0134645
003E486E  // 0.0152058
0046D184  // 0.0172897
0043FA5E  // 0.0165962
003696F7  // 0.0133276
002F6BE2  // 0.0115775
0031A143  // 0.0121167
00315997  // 0.0120483
002EED32  // 0.0114567
00316DE2  // 0.0120677
00322857  // 0.0122455
002C134B  // 0.0107606
002B5A5C  // 0.0105842
0039575F  // 0.0139993
004DA40A  // 0.0189553
0057D3C2  // 0.0214422
004BF652  // 0.0185455
00334CEA  // 0.0125245
002F915B  // 0.0116132
004F2B68  // 0.0193285
006C8834  // 0.0264971
006151E3  // 0.0237597
004143A1  // 0.0159336
0037FD1C  // 0.0136691
004A18C8  // 0.01809
005CBDFE  // 0.0226421
005F457F  // 0.0232596
0053E2DE  // 0.02048
0045E97E  // 0.0170684
00430BBF  // 0.0163686
004DA22B  // 0.0189535
005749F0  // 0.0213107
0054BFEF  // 0.0206909
004B884F  // 0.0184405
004429AF  // 0.0166413
0040255F  // 0.0156606
004242EF  // 0.0161771
004CD746  // 0.01876
0055C972  // 0.0209441
0050C505  // 0.0197191
0043CCE9  // 0.0165528
003E3E0A  // 0.0151959
0041CAFB  // 0.0160627
0046C47A  // 0.0172772
004ADFB0  // 0.0182797
004A89CA  // 0.0181978
003EEEEB  // 0.0153646
0031A579  // 0.0121207
0037040B  // 0.0134316
004AB67F  // 0.0182404
0055E0DA  // 0.0209664
00540581  // 0.0205131
003C0B98  // 0.0146595
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
010FEA34  // 0.0663855
025D5BF8  // 0.147793
025592D7  // 0.145892
01AF0BDD  // 0.105236
014BAC42  // 0.0809748
013C8FC1  // 0.0772855
0139F5A5  // 0.0766503
012F154C  // 0.0739949
011B42EF  // 0.0691556
00E7D356  // 0.056598
0088A440  // 0.0333598
001F4E79  // 0.0076432
00000000  // 0
0001A366  // 0.00039997
00396A40  // 0.0140173
0050C06E  // 0.0197148
0044728B  // 0.0167108
003D74B1  // 0.0150039
0049AF6B  // 0.0179896
00550437  // 0.020756
0054AEA6  // 0.0206744
0050BA06  // 0.0197087
005086A2  // 0.0196596
005681BA  // 0.0211198
006226F9  // 0.0239629
006B7644  // 0.0262358
006A86F8  // 0.0260076
0065A982  // 0.0248199
00694708  // 0.0257025
0074B95C  // 0.0284971
007DC62F  // 0.0307066
0081527E  // 0.0315728
008263DA  // 0.0318335
007FEC8B  // 0.0312314
007A0051  // 0.0297855
007A18A4  // 0.0298087
00877A40  // 0.0330756
0097C570  // 0.0370535
0098D111  // 0.0373088
0088E202  // 0.0334187
0078F9EA  // 0.0295352
00757F00  // 0.0286856
007899AE  // 0.0294434
0077BA6B  // 0.0292305
0071100F  // 0.0276032
0065534F  // 0.0247377
00541910  // 0.0205317
00456BAF  // 0.0169484
0044EB28  // 0.0168258
004D5E7E  // 0.0188889
004CA5B2  // 0.0187127
003EF519  // 0.0153705
00332978  // 0.0124907
00344C0D  // 0.0127678
003DFA49  // 0.0151313
0044AE7B  // 0.016768
004144A9  // 0.0159346
00378FA3  // 0.0135647
00327FE6  // 0.012329
0037E722  // 0.0136482
00436143  // 0.0164502
004B905E  // 0.0184482
0048E911  // 0.0178004

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
02393D80  // 0.138975
06B9364E  // 0.420218
087C1A2F  // 0.530298
0A0ED6D1  // 0.628623
0E963E1A  // 0.91168
12EB8BC7  // 1.18251
0F965420  // 0.974201
02A53E92  // 0.165343
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

