00B59E80  // 0.0443406
00B6336E  // 0.0444826
00B5B444  // 0.0443614
00AEE3A2  // 0.0426976
00AACF3E  // 0.0417015
00B1AF0D  // 0.0433798
00C1E90D  // 0.0473414
00D351EB  // 0.0515918
00D98E58  // 0.0531143
00CE4DD2  // 0.0503672
00BE9E94  // 0.046538
00BC6B2B  // 0.0460006
00C3521F  // 0.0476857
00C161E9  // 0.0472125
00B2F0E8  // 0.0436868
00A1DD4D  // 0.0395177
0097BEE0  // 0.0370473
009B7670  // 0.0379547
00A82A2F  // 0.0410559
00AAD1C8  // 0.041704
009F791C  // 0.0389339
009B2955  // 0.0378812
00A1BE7C  // 0.0394883
00977A10  // 0.0369816
0073767B  // 0.0281892
0055C56E  // 0.0209402
00595BF2  // 0.0218162
00754169  // 0.0286268
00906F26  // 0.0352622
009627E8  // 0.0366592
007F95A5  // 0.0311486
006073FE  // 0.0235481
00588C5E  // 0.0216182
006BE79C  // 0.0263439
0082A2CF  // 0.0318935
0091848D  // 0.0355268
00A0479E  // 0.0391308
00ABB933  // 0.0419247
00A99054  // 0.0413974
00A3D68D  // 0.0399995
00AA00DD  // 0.0415047
00B34671  // 0.0437684
00B34A62  // 0.0437721
00B5BEBA  // 0.0443713
00C46F62  // 0.0479578
00D08B8E  // 0.0509143
00CF8B71  // 0.0506701
00CA30DD  // 0.049363
00C464B6  // 0.0479476
00BFD507  // 0.046834
00CD599F  // 0.0501343
00EE06E6  // 0.058112
00FCF13A  // 0.0617535
00E4908A  // 0.0558019
00C62B0B  // 0.0483809
00C326B0  // 0.0476443
00C0E93B  // 0.0470974
00858C51  // 0.0326045
0003DF28  // 0.00094524
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
004EEA12  // 0.0192662
01C15F1D  // 0.10971
0263B7CD  // 0.149345
025116D5  // 0.144797
022F0AFC  // 0.136485
023C4F1E  // 0.139724
024D0138  // 0.1438
024CD51A  // 0.143758
024AA617  // 0.143225
023F5F8C  // 0.140472
021332D4  // 0.129687
01B95D30  // 0.107755
013BCAA5  // 0.0770976
00CAD0BF  // 0.0495155
00A20D74  // 0.0395636
00BD37E6  // 0.0461959
00D6EC12  // 0.0524712
00C6554B  // 0.0484212
00A7719E  // 0.0408798
009F2865  // 0.0388569
00AE094F  // 0.0424893
00C0A5F7  // 0.0470333
00C6135B  // 0.0483583
00BC23EB  // 0.0459327
00B5A484  // 0.0443463
00C2B6A2  // 0.0475375
00D63EDA  // 0.052306
00DCF0CA  // 0.0539406
00DC1DD0  // 0.0537394
00DE5A07  // 0.0542851
00E027CA  // 0.0547254
00E4C57A  // 0.0558524
00F754C4  // 0.0603836
010DA0E7  // 0.0658273
01130B7F  // 0.0671496
010C90D4  // 0.0655678
010C4057  // 0.065491
0112165D  // 0.0669159
0117AD74  // 0.0682807
01213440  // 0.0706065
012D20D7  // 0.0735176
012DDC5B  // 0.0736965
01203458  // 0.0703624
0112BB7C  // 0.0670733
0111710F  // 0.0667582
01165CC7  // 0.0679596
0110FAB3  // 0.0666453
00FB5B74  // 0.0613665
00E460D5  // 0.0557564
00DC2290  // 0.0537439
00DC366D  // 0.0537628
00D3F414  // 0.0517464
00C33B46  // 0.0476639
00B4CB15  // 0.044139
00A98889  // 0.04139
009DEFD9  // 0.0385588
0096F6CA  // 0.0368565
00973ED2  // 0.0369251
00954036  // 0.0364382
008A5926  // 0.0337764
007E47E7  // 0.0308303
007AC14B  // 0.0299695
007FD03E  // 0.0312045

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
003A8F52  // 0.0142968
008ED7D9  // 0.0348738
00A2EFAE  // 0.0397794
00C09E31  // 0.0470259
01236505  // 0.0711413
01817E67  // 0.0941147
013DB4A9  // 0.0775649
00285D4A  // 0.00985459
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

01C4CC52  // 0.110546
01BC509C  // 0.108475
01B81621  // 0.107443
01AFFA97  // 0.105464
01A5E786  // 0.103004
01A57876  // 0.102898
01B60EF4  // 0.106948
01D37894  // 0.114129
01EDC0C7  // 0.120545
01F2ECD9  // 0.121808
01E3474F  // 0.117988
01D3B36F  // 0.114185
01D16B39  // 0.113628
01D166F0  // 0.113624
01C42024  // 0.110382
01A94F0F  // 0.103835
018D07C3  // 0.0969312
017ED293  // 0.0934625
01849BA7  // 0.094875
018EBAE7  // 0.0973462
018ABFDD  // 0.0963744
01809EC2  // 0.0939014
017FD35C  // 0.0937074
017929C0  // 0.0920808
0152B34C  // 0.0826905
01186DD0  // 0.0684641
00F41FD3  // 0.0596007
00FC8714  // 0.0616523
01233372  // 0.071094
01455BAC  // 0.0794331
0144454F  // 0.0791677
011FC1D1  // 0.0702532
00FB2FF0  // 0.061325
00F77B96  // 0.0604206
0111220D  // 0.0666829
01334025  // 0.0750123
015629C9  // 0.0835359
01767E87  // 0.0914293
01887310  // 0.0958129
018B1917  // 0.0964595
018F689A  // 0.0975119
019BEC07  // 0.100567
01A5864D  // 0.102911
01AC34E7  // 0.104543
01BD17F9  // 0.108665
01D56AF8  // 0.114604
01E4DF21  // 0.118377
01E729B1  // 0.118936
01E11676  // 0.117453
01D7E7E0  // 0.115211
01DD7065  // 0.116562
0201CA01  // 0.125437
022CF3C8  // 0.135975
023230B4  // 0.137253
02109DA0  // 0.129057
01F1FD68  // 0.12158
01E054F2  // 0.117269
01A3A8A0  // 0.102456
00FEF4B5  // 0.0622451
0008BA50  // 0.00213081
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00FB9031  // 0.0614168
033C8596  // 0.202276
047E4132  // 0.280824
04F1708A  // 0.308945
05256FD7  // 0.32164
05516276  // 0.332369
056C8EF0  // 0.339004
05777D87  // 0.341672
057202AF  // 0.340335
05449D52  // 0.329252
04CFB2E4  // 0.300708
0407BFA6  // 0.251892
03152247  // 0.19266
0251F8D5  // 0.145013
01FCFB8D  // 0.124263
01F5F958  // 0.122552
01EEAB8E  // 0.120769
01C9F7A2  // 0.111808
01A52406  // 0.102818
019D433F  // 0.100894
01AF96C9  // 0.105368
01C46DE5  // 0.110456
01C7DE3D  // 0.111296
01BFE52A  // 0.109349
01C4D9A2  // 0.110559
01DD513E  // 0.116533
01F6785C  // 0.122673
020457F6  // 0.12606
020C8833  // 0.12806
0212D495  // 0.129597
021A7EE2  // 0.131469
02300DA7  // 0.136732
0254FBC8  // 0.145748
02740664  // 0.153326
027F4185  // 0.156068
0281B856  // 0.15667
0287C9A7  // 0.158151
0291CB11  // 0.160594
02A10421  // 0.164311
02B65DA5  // 0.169523
02C5D996  // 0.173303
02C1A043  // 0.172272
02AE813E  // 0.167604
029EF40C  // 0.163807
029B5522  // 0.162923
0296ECF9  // 0.161847
027FF919  // 0.156243
0258962B  // 0.146628
0235A5B6  // 0.138097
0221E507  // 0.133275
02116DAC  // 0.129255
01F7E190  // 0.123018
01D8A54D  // 0.115392
01BA5B94  // 0.107997
019D7B4D  // 0.100948
01852AD9  // 0.0950116
0177273A  // 0.0915901
016EEB84  // 0.0895801
0160CAA2  // 0.0861307
014B51BB  // 0.0808885
01394CB7  // 0.0764892
0133BEAE  // 0.075133

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
007F3130  // 0.0310528
00AFFAAF  // 0.0429637
006C29FC  // 0.0264072
00966EB5  // 0.0367267
019EE627  // 0.101294
0293E327  // 0.161105
021878DA  // 0.130975
002F0671  // 0.0114808
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
