007FF8A8  // 0.031243
0087F192  // 0.0331894
008CCDAE  // 0.0343758
0087101E  // 0.0329744
007B08FB  // 0.0300379
0078DB2E  // 0.0295059
00832E22  // 0.0320264
008A6863  // 0.033791
00872BDD  // 0.0330008
00819347  // 0.0316346
007D1170  // 0.0305342
0076E279  // 0.0290246
0075858F  // 0.0286918
007F19D0  // 0.0310305
00870EC8  // 0.0329731
007FAA69  // 0.0311684
00722B77  // 0.0278735
006D6EF7  // 0.0267172
006EC511  // 0.0270434
006EDFB3  // 0.0270688
006D33FE  // 0.0266609
0064B1A3  // 0.0245835
005276DE  // 0.0201329
0044CC4F  // 0.0167964
00454F24  // 0.0169212
0044E1C3  // 0.0168169
00379E3C  // 0.0135786
0029BE14  // 0.010191
00281EEA  // 0.00979511
0032B6B6  // 0.0123813
00465801  // 0.0171738
0054AED8  // 0.0206746
00457585  // 0.0169578
001EDEDC  // 0.00753675
000D4915  // 0.00324352
00273EA3  // 0.00958122
004F5371  // 0.0193667
00655E83  // 0.0247483
006C4F46  // 0.0264428
0070AD33  // 0.0275089
0071CB5D  // 0.0277818
0070E242  // 0.0275595
00768A2A  // 0.0289404
0080F521  // 0.0314838
0083FBBE  // 0.0322225
007CC94A  // 0.0304654
0074C633  // 0.0285093
00732DAB  // 0.0281197
00768076  // 0.0289311
0078DF40  // 0.0295098
0076C690  // 0.028998
0072C854  // 0.0280231
006FEE4C  // 0.0273269
006DCA6E  // 0.0268044
0072B8CF  // 0.0280083
0087EDFD  // 0.0331859
0098E30C  // 0.0373259
00717377  // 0.027698
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
016CDF91  // 0.0890804
0204AF1E  // 0.126144
01F1CD76  // 0.121534
01E4C4DC  // 0.118352
01FD294B  // 0.124307
0202F703  // 0.125724
01F94349  // 0.123355
01FB2B33  // 0.12382
01F4D81C  // 0.122276
01BD8D91  // 0.108778
01488A52  // 0.08021
00BD9924  // 0.0462886
00670AE1  // 0.0251569
0062555C  // 0.0240072
007A0581  // 0.0297904
00777FC4  // 0.0291746
0067D052  // 0.0253452
006A8AB3  // 0.0260112
007AAD4D  // 0.0299504
00862CC8  // 0.0327576
0089030A  // 0.0334502
00843AA3  // 0.0322825
007D8C67  // 0.0306515
00834643  // 0.0320494
00991E97  // 0.0373827
00ADB383  // 0.0424075
00B11A0F  // 0.0432377
00A91314  // 0.041278
00A72BC0  // 0.0408132
00B33B20  // 0.0437576
00C53A71  // 0.0481514
00D2AE97  // 0.051436
00DC1A77  // 0.0537362
00E7A08D  // 0.0565496
00F57FAA  // 0.0599362
0104480E  // 0.0635453
0116FC79  // 0.0681119
0129EFC0  // 0.0727384
012E13DA  // 0.0737494
011D744A  // 0.069691
01060996  // 0.063974
00F41BE8  // 0.0595969
00E2D4C0  // 0.0553787
00CC6657  // 0.0499023
00B6AA5E  // 0.0445961
00A68BBB  // 0.0406606
00985540  // 0.0371907
008B94B4  // 0.0340774
0086DD29  // 0.0329258
00898667  // 0.0335754
008744BF  // 0.0330245
00799014  // 0.0296784
006B9826  // 0.0262681
006B3703  // 0.0261755
00745548  // 0.0284016
0076F52F  // 0.0290424
006DB9E4  // 0.0267886
00614EDA  // 0.0237568
00593DC3  // 0.0217874
0057915D  // 0.0213789
005E3712  // 0.0230017
0069A0EF  // 0.0257882

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
004F3A69  // 0.0193428
009BD2B5  // 0.0380427
0099598F  // 0.0374389
009838E0  // 0.0371636
00F765FA  // 0.0604
017CEA7D  // 0.0929971
016C2BAB  // 0.0889088
007717FA  // 0.0290756
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

01331540  // 0.0749714
0139EECC  // 0.0766438
014496FA  // 0.0792455
01469BA6  // 0.0797383
013AD7BF  // 0.0768659
012E969C  // 0.0738741
0130DD91  // 0.0744301
013C503E  // 0.077225
0141D016  // 0.0785676
013E4BEA  // 0.0777091
01367F91  // 0.0758053
012BA170  // 0.073152
0122D515  // 0.071004
012670EE  // 0.071885
0132DF31  // 0.0749199
01358497  // 0.0755659
012822E2  // 0.0722989
011853D7  // 0.0684393
01101961  // 0.0664305
010CD0A1  // 0.0656287
0109E0E1  // 0.0649117
01007892  // 0.062615
00E8D1E3  // 0.0568408
00CA83B9  // 0.049442
00B72F19  // 0.0447227
00ADDF06  // 0.042449
009DCD40  // 0.0385258
0084EA11  // 0.0324498
007236F9  // 0.0278845
0071E150  // 0.0278028
0086F618  // 0.0329495
00A53B1C  // 0.0403396
00AC1878  // 0.0420155
0087D0FC  // 0.0331583
00580295  // 0.0214868
0050DB1C  // 0.0197402
007A87F4  // 0.0299148
00B15987  // 0.0432983
00DA2571  // 0.0532584
00F4051D  // 0.0595752
0102EDD0  // 0.0632151
01099832  // 0.0648424
01114645  // 0.0667174
01202F78  // 0.0703578
012E013F  // 0.0737317
012F833B  // 0.0740998
01266A9A  // 0.071879
011D85F5  // 0.0697078
011B8B7D  // 0.0692248
011DFD6E  // 0.0698218
011E48B1  // 0.0698935
011A2207  // 0.0688801
01141C16  // 0.0674096
010E42C5  // 0.0659816
010EE5C3  // 0.0661371
01238CBA  // 0.0711791
01448185  // 0.0792251
0138B817  // 0.0763474
00BDB85A  // 0.0463184
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
0056C5FF  // 0.0211849
027A7088  // 0.154892
03A9FB2E  // 0.228999
0426BEE6  // 0.259459
0471488C  // 0.277657
04A2E4B5  // 0.289769
04B42F33  // 0.29399
04BA2D2A  // 0.295453
04B83FA3  // 0.294983
0484E2E2  // 0.282443
03F12C46  // 0.24638
0304356A  // 0.188528
0211A59E  // 0.129308
01784DF6  // 0.0918712
01427718  // 0.0787269
01305E59  // 0.0743087
01195F06  // 0.0686941
010AB2B2  // 0.0651118
0112CFFC  // 0.0670929
01270858  // 0.0720294
0137ADAB  // 0.0760934
013C8F54  // 0.0772851
0137267C  // 0.0759644
0136DEC2  // 0.075896
014BF25E  // 0.0810417
01707635  // 0.0899565
018CE5DD  // 0.0968989
0194C2B9  // 0.0988185
01939E25  // 0.0985395
019CBD24  // 0.100766
01B57034  // 0.106796
01D3F4F8  // 0.114247
01EFEE87  // 0.121077
020AE93E  // 0.127664
0228461E  // 0.134832
02487B41  // 0.142696
026DCF75  // 0.151809
029759D6  // 0.161951
02B623DE  // 0.169468
02B7EFB5  // 0.169906
029DDA82  // 0.163538
02789F9B  // 0.154449
0250DCF0  // 0.144742
0223B791  // 0.13372
01F29A18  // 0.121729
01C4C153  // 0.110536
019C5502  // 0.100667
01788110  // 0.09192
015E68A4  // 0.085549
015283F3  // 0.0826454
014C03A1  // 0.0810581
013C2D8E  // 0.0771919
012320ED  // 0.0710763
011161F8  // 0.0667438
0110BC65  // 0.0665859
01165892  // 0.0679556
011210F0  // 0.0669107
01019E04  // 0.0628948
00EDE39D  // 0.0580784
00DFDEE7  // 0.0546559
00DE545E  // 0.0542797
00EA2901  // 0.057168

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00A1499A  // 0.0393768
00D0BD97  // 0.0509621
0057E566  // 0.021459
003D5357  // 0.0149721
014BA79E  // 0.0809704
029265E6  // 0.160742
0259CC76  // 0.146924
008701AF  // 0.0329606
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
01345B75  // 0.0752825
02555ED9  // 0.145842
024C8287  // 0.143679
025C4020  // 0.147522
03E33293  // 0.242968
05DF0E00  // 0.366957
057A6A1D  // 0.342386
01B6E816  // 0.107155
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0

