0073C372  // 0.0282626
009BA532  // 0.0379993
009B5B7E  // 0.0379291
007627EE  // 0.0288467
007072C2  // 0.0274532
00940CF1  // 0.0361452
00A92EE5  // 0.0413045
009E7140  // 0.0386822
0090C625  // 0.0353452
0089D2AA  // 0.0336482
0083C7A9  // 0.0321728
00867C63  // 0.0328335
0091FEE8  // 0.0356435
00944E24  // 0.0362073
008713B3  // 0.0329778
00785F2F  // 0.0293876
007535C5  // 0.0286157
007C7264  // 0.0303825
00816128  // 0.0315868
00796B9B  // 0.0296436
00686BEA  // 0.0254935
00576D0D  // 0.0213442
004A1053  // 0.018082
00478BF1  // 0.0174674
0054BF0C  // 0.02069
0060760B  // 0.0235501
0059B8CA  // 0.0219047
00506172  // 0.0196242
0055F500  // 0.0209856
0059D274  // 0.0219292
004D7BCA  // 0.0189169
0043B6DD  // 0.0165318
004D57FD  // 0.0188827
0064605B  // 0.024506
00822F52  // 0.0317834
009E2CE3  // 0.038617
00A61C90  // 0.0405546
009BA765  // 0.0380014
00984F70  // 0.0371851
00A1F726  // 0.0395423
00A7E2B7  // 0.0409877
00A8CE9A  // 0.0412127
00AD4106  // 0.0422983
00ADCB6B  // 0.0424303
00A51698  // 0.0403048
009FBCF6  // 0.0389986
00A43688  // 0.0400911
00AB742F  // 0.0418588
00B52786  // 0.0442271
00C1AFA1  // 0.0472866
00C31BAE  // 0.0476338
00B463F3  // 0.0440406
00AA7DF0  // 0.041624
00B468D4  // 0.0440453
00C7C0AE  // 0.0487677
00DB5645  // 0.0535491
00E75C64  // 0.0564846
00C7B4B6  // 0.0487563
006617E8  // 0.0249251
0003A527  // 0.000889923
00000000  // 0
0007726E  // 0.00181811
00000000  // 0
00000000  // 0
00000000  // 0
00000000  // 0
009B66BD  // 0.0379398
01AF16CC  // 0.105246
01FD1BA2  // 0.124294
01E558CA  // 0.118493
01ECA858  // 0.120278
021A3B29  // 0.131404
022F8615  // 0.136602
0221580E  // 0.133141
020B57D9  // 0.127769
01E40159  // 0.118165
018CC756  // 0.0968698
011902BD  // 0.0686061
00C95A1A  // 0.0491582
00BE7CD0  // 0.0465057
00D5334B  // 0.0520509
00DBC10D  // 0.0536509
00CF03E5  // 0.0505408
00C98B18  // 0.0492049
00CF509D  // 0.050614
00D03432  // 0.050831
00CAC311  // 0.0495024
00C824DD  // 0.0488633
00C991F2  // 0.0492114
00D167A4  // 0.0511242
00E28F6A  // 0.0553126
00EF1BFC  // 0.0583763
00EAD727  // 0.0573341
00E5E770  // 0.0561289
00EF5222  // 0.0584279
00F8784C  // 0.0606616
00F94234  // 0.0608542
0104A9BB  // 0.0636384
011B20E3  // 0.0691232
011F2293  // 0.0701013
010D57C7  // 0.0657575
